CloneID	Antibody	Fisher.Pval	Fisher.OR	Hyper.Pval	Fisher.Padj	Hyper.Padj
clonotype_1000	HBVgp1_gttg_pol	1	0	1	1	1
clonotype_1000	HBVgp2_tt_env	1	0	1	1	1
clonotype_1000	HBVgp2_at_env	0.0242231909225179	54.318195096875186	0.02422319092251768	1	1
clonotype_1000	HBVgp2_gcac_env	1	0	1	1	1
clonotype_1000	HBVgp2_gcggg_env	1	0	1	1	1
clonotype_1000	HBVgp2_gtcg_env	1	0	1	1	1
clonotype_1000	HBVgp2_agag_env	1	0	1	1	1
clonotype_1000	HBVgp2_cagc_env	1	0	1	1	1
clonotype_1000	HBVgp1_gcgt_pol	1	0	1	1	1
clonotype_1000	HBVgp4_tt_core	1	0	1	1	1
clonotype_1000	HBVgp3_ag_x	1	0	1	1	1
clonotype_1000	HBVgp2_aatg_env	1	0	1	1	1
clonotype_1000	HBVgp2_agat_env	1	0	1	1	1
clonotype_1000	HBVgp2_gcca_env	1	0	1	1	1
clonotype_1000	HBVgp1_tg_pol	1	0	1	1	1
clonotype_1002	HBVgp2_gcgg_pol	1	0	1	1	1
clonotype_1002	HBVgp3_cc_x	1	0	1	1	1
clonotype_1002	HBVgp3_gg_x	1	0	1	1	1
clonotype_1002	HBVgp2_ct_env	1	0	1	1	1
clonotype_1002	HBVgp1_gtcc_pol	1	0	1	1	1
clonotype_1002	HBVgp2_aagc_env	1	0	1	1	1
clonotype_1002	HBVgp4_ca_core	1	0	1	1	1
clonotype_1002	HBVgp4_ag_core	0.03800037965983305	34.32516583918379	0.03800037965983305	1	1
clonotype_1002	HBVgp2_ta_env	0.02707479350559261	48.508267234503975	0.027074793505592387	1	1
clonotype_1002	HBVgp1_ccag_pol	1	0	1	1	1
clonotype_1002	HBVgp1_aa_pol	1	0	1	1	1
clonotype_1002	HBVgp2_ac_env	1	0	1	1	1
clonotype_1002	HBVgp1_ccat_pol	1	0	1	1	1
clonotype_1002	HBVgp4_cc_core	1	0	1	1	1
clonotype_1002	HBVgp2_cg_env	1	0	1	1	1
clonotype_1002	HBVgp4_gt_core	1	0	1	1	1
clonotype_1002	HBVgp1_gttg_pol	1	0	1	1	1
clonotype_1002	HBVgp2_tt_env	1	0	1	1	1
clonotype_1002	HBVgp2_at_env	1	0	1	1	1
clonotype_1002	HBVgp2_gcac_env	1	0	1	1	1
clonotype_1002	HBVgp2_gcggg_env	1	0	1	1	1
clonotype_1002	HBVgp2_gtcg_env	1	0	1	1	1
clonotype_1002	HBVgp2_agag_env	1	0	1	1	1
clonotype_1002	HBVgp2_cagc_env	1	0	1	1	1
clonotype_1002	HBVgp1_gcgt_pol	1	0	1	1	1
clonotype_1002	HBVgp4_tt_core	1	0	1	1	1
clonotype_1002	HBVgp3_ag_x	1	0	1	1	1
clonotype_1002	HBVgp2_aatg_env	1	0	1	1	1
clonotype_1002	HBVgp2_agat_env	1	0	1	1	1
clonotype_1002	HBVgp2_gcca_env	0.014992037823101767	88.50389623208254	0.014992037823101212	1	1
